epoch,train_loss,train_token_loss,train_coord_loss,val_loss,learning_rate
1,2.6320680285545195,2.6320680285545195,351.17126043696635,2.7685424414548008,1.8996656760772664e-05
2,2.9166844143904678,2.22438078877477,34.69716374474832,3.0988167172128502,2.8000000000000003e-05
3,2.9887458288235935,1.9548252957258387,25.86797739367354,3.2902931208637627,3.700668647845468e-05
4,2.855700955071857,1.7420465407318342,18.54413095619599,3.458686336028305,4.6e-05
5,2.731332046512328,1.5942855257713728,14.228119292993492,3.677407927980477,5.501002971768202e-05
6,2.603990344887941,1.4714564509363466,11.330212377846994,3.6329702707854183,6.40167161961367e-05
7,2.4428275038890805,1.353119518385305,9.08768560873113,3.5945011132650753,7.302674591381872e-05
8,2.2340514457584355,1.2308574128319152,7.165130484117436,4.1281403136354955,8.203008915304607e-05
9,2.032259884176534,1.1140289873228069,5.734308342205375,4.19716209596531,9.102674591381873e-05
10,1.8696487006739622,1.0123645775130665,4.76864288026572,4.5429342787882145,0.0001
11,1.715799076819809,0.9202291373086082,3.9820194350947964,5.003650633448904,0.0001
12,1.553873012411665,0.8324815198137958,3.2822287077366066,4.837175762788816,0.0001
13,1.4436457408405148,0.7691481018265827,2.806726342395336,5.090084101073444,0.0001
14,1.3458946681323543,0.714038275386903,2.4307109810682963,5.253736945038492,0.0001
15,1.2672356344101248,0.66754965585364,2.1421637111180964,5.1353350467556576,0.0001
16,1.1994651182103175,0.6277428892867691,1.9061284259724989,4.699199022894556,0.0001
17,1.1415505667283872,0.5938723439822096,1.7098642659426533,5.164262772918764,0.0001
18,1.0832510742827117,0.5619664588587182,1.5340789137833193,4.9571343497584825,0.0001
19,1.0454882502068554,0.5357757550396028,1.4147173077233526,5.639745725445788,0.0001
20,0.9824180016612404,0.5070130144305428,1.2504951424708515,5.650971461934122,9.999977213836972e-05
21,0.9343728788244179,0.47920764212964145,1.1353177708744515,5.386763344942168,9.753966913479743e-05
22,0.8707986667851828,0.45073235615169727,1.000516826797169,5.746387199922041,9.046810146312812e-05
23,0.7943939429229185,0.4206886684825898,0.8486454905087245,5.614865864817561,7.949245829384027e-05
24,0.7034414808675287,0.384506547838084,0.6929402991226729,5.95775485878006,6.568092201644312e-05
25,0.62371954316885,0.3550193341217368,0.5603111408360593,5.612195311029526,5.036135931676018e-05
